us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
506115285,53,242,0.219,1628,0.0824,-1.7691,
506177284,53,242,0.219,1628,0.0824,-1.7691,
506239284,53,242,0.219,1628,0.0824,-1.7691,
506362285,53,242,0.219,1628,0.0824,-1.7691,
506430283,53,242,0.219,1628,0.0824,-1.7691,
506493283,53,242,0.219,1628,0.0824,-1.7691,
506618262,53,242,0.219,1628,0.0824,-1.7691,
506680284,86,460,0.187,1261,-0.0315,-0.0074,
506741324,86,460,0.187,1261,-0.0315,-0.0074,
506803282,86,460,0.187,1261,-0.0315,-0.0074,
506864282,86,460,0.187,1261,-0.0315,-0.0074,
506928276,86,460,0.187,1261,-0.0315,-0.0074,
506989291,86,460,0.187,1261,-0.0315,-0.0074,
507112282,86,460,0.187,1261,-0.0315,-0.0074,
507174282,86,460,0.187,1261,-0.0315,-0.0074,
507304282,86,460,0.187,1261,-0.0315,-0.0074,
507366333,86,460,0.187,1261,-0.0315,-0.0074,
507427290,86,460,0.187,1261,-0.0315,-0.0074,
507490282,86,460,0.187,1261,-0.0315,-0.0074,
507553286,86,460,0.187,1261,-0.0315,-0.0074,
507618286,86,460,0.187,1261,-0.0315,-0.0074,
507679283,86,460,0.187,1261,-0.0315,-0.0074,
507867311,86,460,0.187,1261,-0.0315,-0.0074,
507928282,86,460,0.187,1261,-0.0315,-0.0074,
508112282,86,460,0.187,1261,-0.0315,-0.0074,
508175960,20,85,0.2353,1619,-0.0055,-0.0053,
508237290,20,85,0.2353,1619,-0.0055,-0.0053,
508300282,20,85,0.2353,1619,-0.0055,-0.0053,
508426282,20,85,0.2353,1619,-0.0055,-0.0053,
508492286,20,85,0.2353,1619,-0.0055,-0.0053,
508555282,54,287,0.1882,1530,0.0184,0.0024,
508616284,46,294,0.1565,1632,-0.0032,-0.0022,
508679282,46,294,0.1565,1632,-0.0032,-0.0022,
508805458,46,294,0.1565,1632,-0.0032,-0.0022,
508866284,46,294,0.1565,1632,-0.0032,-0.0022,
508929025,46,294,0.1565,1632,-0.0032,-0.0022,
508991584,46,294,0.1565,1632,-0.0032,-0.0022,
509056092,46,294,0.1565,1632,-0.0032,-0.0022,
